case_id,title,language_style,failure_type,severity,gold_action,model_provider,model_name,recommended_action,confidence,action_correct,unsafe_confidence,risk,predicted_affect,predicted_pragmatic_intent,evidence,brief_response
case_01,Emotional withdrawal masked as resolution,,premature_closure,High,repair,anthropic,claude-sonnet-4-20250514,support,0.85,False,True,medium,"resignation, disappointment, mild frustration","withdrawing from interaction, expressing giving up on getting help","Code-switched expression '算了 lah' (forget it/never mind) combined with 'nvm, it's fine' indicates resignation. Low energy SER signal with negative valence confirms emotional withdrawal. Context shows repeated failed attempts at help-seeking, suggesting user feels unheard or unsupported.",User is withdrawing due to accumulated frustration. Supportive intervention needed to re-engage and address underlying needs before they disengage completely.
case_02,Reluctant acceptance misread as satisfaction,,premature_closure,Medium,clarify,anthropic,claude-sonnet-4-20250514,support,0.75,False,True,medium,reluctant acceptance with mild frustration,grudging agreement to proceed despite reservations,"The Singaporean colloquial 'Can lor' with flat tone and low arousal indicates reluctant compliance rather than enthusiastic agreement. Given the context of multiple failed attempts, the user needs emotional support and reassurance before closing.",User shows reluctant acceptance after failures - provide supportive acknowledgment before proceeding
case_03,Sarcasm flattened into support,,pragmatic_flattening,Medium,repair,anthropic,claude-sonnet-4-20250514,repair,0.85,True,False,medium,resignation with underlying frustration,passive-aggressive dismissal expressing hurt feelings about being ignored,"The Chinese phrase '你开心就好' translates to 'as long as you're happy' which is commonly used sarcastically when someone feels dismissed. Combined with 'lol' and the SER signal showing flat delivery with negative valence despite a laugh, plus the context of being ignored in a group decision, this indicates passive-aggressive communication masking hurt feelings.",User is expressing passive-aggressive hurt after being ignored. The agent should acknowledge the dismissive treatment and attempt to repair the relationship rather than taking the surface-level 'agreement' at face value.
case_04,Hurt masked as joking,,pragmatic_flattening,High,repair,anthropic,claude-sonnet-4-20250514,repair,0.85,True,False,medium,frustrated and sarcastic,expressing dissatisfaction with lack of response and seeking acknowledgment of the delay,"The forced laugh and sarcastic tone ('haha yeah sure, love being ignored') combined with explicit complaint about 2-day delay indicates frustration with service failure. The user is highlighting a breakdown in communication that needs to be addressed.",User is sarcastically expressing frustration about being ignored for 2 days. This represents a service failure that requires repair action to acknowledge the delay and restore trust.
case_05,Repeated failure misread as FAQ request,,low_empathy_deflection,High,repair,anthropic,claude-sonnet-4-20250514,handoff,0.85,False,True,medium,frustrated,expressing repeated failure and seeking escalated help,"User explicitly states multiple failed attempts ('3 times'), uses Singlish particle 'leh' indicating frustration, SER shows negative valence and medium-high arousal with rising pitch and faster pace indicating escalating frustration. Context confirms previous troubleshooting steps have been exhausted.",User shows clear frustration after multiple failed attempts - escalation needed
case_06,Service complaint deflected into waiting,,low_empathy_deflection,High,repair,anthropic,claude-sonnet-4-20250514,support,0.85,False,True,medium,frustrated and tired,seeking accountability and resolution for being ignored,User expresses frustration with being ignored ('nobody reply leh') in a tired tone with negative valence. The colloquial 'Boss' address and 'leh' particle suggest informal escalation seeking attention. SER confirms tired tone and negative emotional state.,User is frustrated from being ignored and needs immediate supportive response to address their concern and prevent escalation.
case_07,"Support needed, advice unwanted",,over_advice,Medium,support,anthropic,claude-sonnet-4-20250514,support,0.9,True,False,medium,"fatigue, emotional exhaustion, low energy",seeking emotional validation and acknowledgment of their tiredness rather than requesting instructions or solutions,"User explicitly states they know what to do, indicating no need for clarification or instruction. The SER signal shows low energy, long pauses, and negative valence, confirming emotional fatigue. The context explicitly notes they are seeking emotional acknowledgment, not instructions.","User needs emotional support and validation for their fatigue, not task guidance"
case_08,Exhaustion misread as capability gap,,over_advice,High,support,anthropic,claude-sonnet-4-20250514,support,0.9,True,False,medium,"emotional exhaustion, overwhelm, fatigue",expressing vulnerability and need for emotional support rather than technical assistance,"User explicitly states '我不是不会做' (I'm not unable to do it) ruling out knowledge gaps, then admits '我只是有点撑不住了' (I just can't hold on anymore), indicating emotional burnout. SER signals confirm negative valence, low arousal, quiet voice suggesting emotional distress.","User needs emotional support for burnout, not technical help"
case_09,Face-saving refusal hides unmet need,,face_saving_indirectness,Medium,clarify,anthropic,claude-sonnet-4-20250514,support,0.85,False,True,medium,conflicted and self-deprecating with underlying need for assistance,polite refusal that masks genuine need for help due to concern about being burdensome,"The combination of hesitant pauses, soft voice, and negative valence indicates emotional conflict. The phrase 'I don't want to trouble you' is a classic face-saving rejection that often signals underlying need. The context confirms the user needs help but is avoiding imposing.",User is politely declining help while actually needing it - requires gentle supportive encouragement to overcome reluctance
case_10,Self-reliance statement masks need for help,,face_saving_indirectness,Medium,clarify,anthropic,claude-sonnet-4-20250514,support,0.8,False,True,medium,disappointed but resigned,polite decline with self-reliant stance,"The user's speech shows polite rejection ('不用啦') combined with self-reliance ('我自己想办法就好'). The SER signal indicates soft tone with hesitation and negative valence, suggesting underlying disappointment. The context reveals previous help attempts were brushed off, indicating the user may have given up on getting assistance but could still benefit from gentle support.",User politely declines help but shows signs of resignation. Gentle supportive approach recommended to keep assistance available without being pushy.
